Company name,Amount (millions),Date,Industry,City,State,Lead Investor,Company description,Round Type
Trifo,15,1/2/2020,Software,Santa Clara,California,Yidu Cloud,"Founded in 2016, Trifo is a full stack AI home robot company. Focusing on indoor home environments, Trifo has been developing an end-to-end integrated hardware/software system with sensing, perception, and decision capabilities.",B
BlueConic,13,1/2/2020,Software,Boston,Massachusetts,Spring Lake Equity Partners,"BlueConic, the world’s leading customer data platform, liberates marketers’ first-party data from all the disparate systems in which it exists, and makes it available wherever and whenever it is required for marketing.",B
CollBox,1,1/2/2020,Finance,Austin,Texas,Bala Investments,"CollBox, Inc. is a financial technology services company based in East Austin, Texas leading advances in the credit, debt, and collections markets.",Seed
Nayax,60,1/2/2020,Finance,Hunt Valley,Maryland,SafeCharge,"Nayax is a leading global provider of EMV certified cashless payment solutions, telemetry systems, and a management & monitoring business suite for the unattended machine industry.",Venture Round
WhyHotel,20,1/3/2020,Media and entertainment,Washington DC,Washington DC,Harbert Growth Partners,"WhyHotel operates 100 to 250 room pop-up hotels with 24/7 on-site staff in newly built, luxury apartment buildings. WhyHotel's concept provides developers with a new way to utilize units during lease-up and provides tourists/guests with a new way to travel.",B
Clearcover,50,1/3/2020,Finance,Chicago,Illinois,OMERS Ventures,"Clearcover is the smarter car insurance choice, offering better coverage for less money.",C
BigID,50,1/6/2020,Software,Mamaroneck,New York,Tiger Global Management,BigID is transforming enterprise protection and privacy of personal data. Organizations are facing record breaches of personal information and proliferating global privacy regulations with fines reaching 4% of annual revenue.,C
Taxbit,5,1/6/2020,Software,Draper,Utah,Global Founders Capital,"TaxBit was founded by CPAs, tax attorneys, and software developers in order to enable widespread cryptocurrency adoption by automating the regulatory hurdle of tax compliance.",Seed
TypingDNA,7,1/6/2020,Software,New York City,New York,Gradient Ventures,TypingDNA is a SaaS based AI tech behavioral biometrics startup with clients in the U.S. and Europe. ,A
OncoLens,2.5,1/6/2020,Software,Atlanta,Georgia,BIP Capital,"OncoLens develops technologies that improve cancer treatment planning, simplify tumor board management, facilitate survivorship care planning, and automate accreditation and quality reporting through an intelligent workflow engine that streamlines business processes and enables more informed clinical decision-making.",Seed
Curricula,3,1/6/2020,Software,Atlanta,Georgia,RCP Equity,Curricula provides an integrated Phishing Simulator to train employees how to defend against real-world social engineering attacks. Select from a library of scenarios and DeeDee (Curricula’s AI villain hacker) will help train your employee how to defend themselves. ,A
SmartSky Networks,25,1/6/2020,Business Products and Services,Charlotte,North Carolina,WP Global Partners,"SmartSky Networks, LLC develops 4G air-to-ground communication systems.",C
Boragen,2,1/7/2020,Biotechnology,Durham,North Carolina,Hatteras Venture Partners,Boragen is focused on leveraging the unique chemical properties of boron to develop novel synthetic chemistry platforms,Venture Round
"repisodic, inc",1.75,1/7/2020,Healthcare services,Philadelphia,Pennsylvania,American Enterprise Ventures,"At repisodic, our mission is to help patients and their families select an optimal post-acute care provider during hospital discharge. ",Seed
m1neral,1.6,1/8/2020,Software,Houston,Texas,Amnis Ventures,"We are hard at work building the next evolution of mineral acquisition. Our model is simple - we collect data, apply AI, and enrich it to provide actionable intelligence to our clients.",Pre-seed
Pieces Technologies,25.7,1/8/2020,Software,Dallas,Texas,Concord Health Partners,"Pieces Technologies, a Dallas artificial intelligence and technology company, connects health systems and the community to address clinical and social determinants of healthcare.",B
